date_new,block,plot,species,LDMC,water.content,LFM,weeding,community
2021-05-12,1,1,Acmispon strigosus,0.23000000000000043,0.6799999999999997,295.6521739130428,weed,seed
2021-05-12,1,10,Acmispon strigosus,0.20000000000000284,0.5500000000000007,274.9999999999965,weed,seed
2021-05-27,2,50,Acmispon strigosus,0.34999999999999787,0.9299999999999997,265.71428571428726,weed,seed
2022-04-06,2,50,Acmispon strigosus,0.2900000000000027,1.1099999999999994,382.7586206896514,weed,seed
2021-05-27,2,52,Acmispon strigosus,0.23000000000000043,0.8099999999999987,352.17391304347706,weed,seed
2022-04-06,2,52,Acmispon strigosus,0.259999999999998,0.9699999999999989,373.0769230769255,weed,seed
2021-04-07,3,74,Acmispon strigosus,0.5300000000000011,2.2900000000000027,432.0754716981128,weed,plant
2021-04-07,3,85,Acmispon strigosus,0.2699999999999996,1.1499999999999986,425.92592592592604,weed,seed
2020-05-01,1,3,Amsinckia menziesii,0.129999999999999,0.7100000000000009,546.153846153851,weed,seed
2020-04-20,1,5,Amsinckia menziesii,0.10800000000000054,0.6910000000000025,639.8148148148139,dozer,seed
2020-04-20,1,8,Amsinckia menziesii,0.09800000000000253,0.17300000000000182,176.53061224489525,control,seed
2020-05-01,1,10,Amsinckia menziesii,0.13000000000000256,0.7699999999999996,592.3076923076803,weed,seed
2020-05-01,1,16,Amsinckia menziesii,0.08999999999999986,0.41000000000000014,455.55555555555645,dozer,seed
2020-05-01,1,17,Amsinckia menziesii,0.120000000000001,0.7199999999999989,599.9999999999941,control,seed
2020-06-29,1,17,Amsinckia menziesii,0.5999999999999979,0.6499999999999986,108.33333333333348,control,seed
2020-05-01,1,19,Amsinckia menziesii,0.10000000000000142,0.5200000000000031,519.9999999999958,control,seed
2020-06-29,1,22,Amsinckia menziesii,0.6400000000000006,0.6699999999999982,104.68749999999962,dozer,seed
2020-06-29,1,28,Amsinckia menziesii,0.41000000000000014,0.4400000000000013,107.31707317073199,weed,seed
2020-05-29,2,39,Amsinckia menziesii,0.07000000000000028,0.25,357.1428571428557,dozer,seed
2020-05-29,2,41,Amsinckia menziesii,0.10999999999999943,0.3999999999999986,363.6363636363642,dozer,seed
2020-04-24,2,52,Amsinckia menziesii,0.08999999999999986,0.5280000000000022,586.66666666667,weed,seed
2020-05-29,2,52,Amsinckia menziesii,0.10000000000000142,0.3500000000000014,349.9999999999965,weed,seed
2020-05-29,2,57,Amsinckia menziesii,0.05000000000000071,0.07000000000000028,139.99999999999858,control,seed
2020-05-29,2,59,Amsinckia menziesii,0.11999999999999744,0.4499999999999993,375.0000000000074,weed,seed
2020-04-24,2,70,Amsinckia menziesii,0.129999999999999,0.9009999999999998,693.0769230769282,dozer,seed
2020-05-22,3,83,Amsinckia menziesii,0.019999999999999574,0.0799999999999983,400,dozer,seed
2020-05-22,3,84,Amsinckia menziesii,0.19000000000000128,0.9100000000000001,478.9473684210495,weed,seed
2020-06-12,3,84,Amsinckia menziesii,0.08000000000000185,0.28000000000000114,349.99999999999335,weed,seed
2020-05-22,3,99,Amsinckia menziesii,0.14000000000000057,0.46000000000000085,328.5714285714279,control,seed
2020-04-24,3,101,Amsinckia menziesii,0.14000000000000057,0.833000000000002,594.999999999999,control,seed
2020-04-24,3,102,Amsinckia menziesii,0.09999999999999787,0.565999999999999,566.000000000011,weed,seed
2020-04-24,3,105,Amsinckia menziesii,0.14000000000000057,0.870000000000001,621.4285714285696,dozer,seed
2020-05-11,4,109,Amsinckia menziesii,0.10999999999999943,0.5599999999999987,509.0909090909106,dozer,seed
2020-05-11,4,115,Amsinckia menziesii,0.28000000000000114,1.7300000000000004,617.8571428571405,weed,seed
2020-05-11,4,123,Amsinckia menziesii,0.19000000000000128,0.9899999999999984,521.0526315789431,control,seed
2022-03-09,1,1,Amsinckia menziesii,0.27000000000000135,1.160000000000002,429.62962962962814,weed,seed
2021-05-12,1,1,Amsinckia menziesii,0.25,1.0299999999999976,411.99999999999903,weed,seed
2022-03-09,1,3,Amsinckia menziesii,0.35999999999999943,1.629999999999999,452.7777777777782,weed,seed
2021-05-12,1,3,Amsinckia menziesii,0.36999999999999744,1.3699999999999974,370.27027027027214,weed,seed
2022-04-08,1,3,Amsinckia menziesii,0.28999999999999915,1.3099999999999987,451.7241379310354,weed,seed
2022-03-09,1,10,Amsinckia menziesii,0.25,1.0600000000000023,424.0000000000009,weed,seed
2021-05-12,1,10,Amsinckia menziesii,0.22999999999999687,0.9599999999999973,417.3913043478306,weed,seed
2022-03-09,1,28,Amsinckia menziesii,0.41000000000000014,1.9399999999999977,473.17073170731635,weed,seed
